"","Binomial","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Anaxyrus_americanus","Anaxyrus_americanus",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clemmys_guttata","Clemmys_guttata",33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10450791626612,0.0941358201082863,0.073002012852935,0.045338803771485,0.0188341946414683,0.0014607803943476,-0.00187510637020916,0.00767252226235815,0.0224111046448532,0.0324478082496715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ensatina_eschscholtzii","Ensatina_eschscholtzii",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.346360527529698,-0.346360527529698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyla_versicolor","Hyla_versicolor",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0433147081700624,0.0433147081700622,0.0433147081700624,0.0433147081700624,0.043314708170062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plestiodon_fasciatus","Plestiodon_fasciatus",21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.145197872667093,-0.145197872667093,-0.145197872667093,-0.145197872667093,-0.145197872667093,NA,NA,NA,0.00459134442987478,0.004591344429849,0.00459134442996659,0.00459134443032233,0.00459134443073932,0.00459134443088029,0.00459134443053748,0.00459134442977924,0.00459134442884565,0.00459134442796508,0.00459134442727124,0.00459134442681405,0.00459134442657812,0.00459134442649597,NA,NA,NA,NA,NA,NA,NA
"Plethodon_cinereus","Plethodon_cinereus",186,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0840103749016667,0.0794804783639713,0.243619218907499,0.137869970737674,0.0621493900484964,0.0198859624948887,0.0245608935183967,0.0350902434667031,0.03579700033653,0.0173032498922669,0.00629259356262466,0.0336946794393783,-0.0196383849994605,0.0273900918163553,0.137543428292267
"Thamnophis_sirtalis","Thamnophis_sirtalis",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
